Date,LIQ_PS
1998-09-30,0.05509535
1998-10-30,0.00950975
1998-11-30,0.00163953
1998-12-31,0.04828456
1999-01-29,0.05095578
1999-02-26,0.02054718
1999-03-31,-0.00332609
1999-04-30,0.08767822
1999-05-28,-0.00719636
1999-06-30,0.04269869
1999-07-30,-0.01601707
1999-08-31,-0.0043814
1999-09-30,-0.03079376
1999-10-29,0.09079864
1999-11-30,-0.01671316
1999-12-31,0.04501071
2000-01-31,0.01096611
2000-02-29,0.00889955
2000-03-31,-0.00154299
2000-04-28,-0.04316132
2000-05-31,-0.0265148
2000-06-30,-0.03392962
2000-07-31,0.11025636
2000-08-31,-0.00939793
2000-09-29,-0.03893589
2000-10-31,0.0233729
2000-11-30,-0.03671737
2000-12-29,0.01130186
2001-01-31,0.07131207
2001-02-28,0.03991331
2001-03-30,0.07061213
2001-04-30,0.00743734
2001-05-31,0.03162855
2001-06-29,0.00317664
2001-07-31,0.03563154
2001-08-31,0.04913043
2001-09-28,-0.10070463
2001-10-31,0.03493576
2001-11-30,0.0326671
2001-12-31,0.06825668
2002-01-31,-0.01242267
2002-02-28,0.03759379
2002-03-28,0.07805775
2002-04-30,0.05146454
2002-05-31,0.05081821
2002-06-28,-0.00913905
2002-07-31,-0.04580001
2002-08-30,0.00343014
2002-09-30,0.00133774
2002-10-31,0.04117081
2002-11-29,0.01743669
2002-12-31,-0.01163296
2003-01-31,-0.02155062
2003-02-28,0.01144085
2003-03-31,-0.001486
2003-04-30,0.03747393
2003-05-30,0.00851668
2003-06-30,-0.0094377
2003-07-31,0.06786535
2003-08-29,0.04096158
2003-09-30,-0.00741016
2003-10-31,0.02035822
2003-11-28,0.004532
2003-12-31,-0.00327383
2004-01-30,-0.05278612
2004-02-27,0.02821727
2004-03-31,0.01684606
2004-04-30,-0.00451048
2004-05-28,-0.00184917
2004-06-30,0.02598052
2004-07-30,0.07181666
2004-08-31,0.06520698
2004-09-30,-0.00145842
2004-10-29,-0.01576515
2004-11-30,0.01382888
2004-12-31,-0.03431977
2005-01-31,0.04238401
2005-02-28,0.05583696
2005-03-31,-0.00300091
2005-04-29,-0.05295723
2005-05-31,0.00014587
2005-06-30,0.0427119
2005-07-29,0.02728237
2005-08-31,0.02995726
2005-09-30,0.0339345
2005-10-31,-0.0439314
2005-11-30,0.00550748
2005-12-30,0.00038138
2006-01-31,0.03383014
2006-02-28,-0.03888196
2006-03-31,0.01238598
2006-04-28,-0.00666897
2006-05-31,0.0205542
2006-06-30,0.03208476
2006-07-31,0.05469685
2006-08-31,-0.02801405
2006-09-29,-0.01752444
2006-10-31,0.03803449
2006-11-30,0.02836054
2006-12-29,-0.01617033
2007-01-31,0.00374934
2007-02-28,0.02497519
2007-03-30,0.02930273
2007-04-30,0.02008912
2007-05-31,0.02737913
2007-06-29,0.00797999
2007-07-31,0.02659782
2007-08-31,-0.00456816
2007-09-28,0.03336599
2007-10-31,0.05507869
2007-11-30,0.02204191
2007-12-31,0.05044672
2008-01-31,-0.12649147
2008-02-29,0.03017037
2008-03-31,0.04094675
2008-04-30,0.10888716
2008-05-30,0.08066045
2008-06-30,0.09476275
2008-07-31,-0.13270809
2008-08-29,0.01829137
2008-09-30,-0.13471864
2008-10-31,-0.08942634
2008-11-28,-0.05744727
2008-12-31,-0.08481537
2009-01-30,0.07990491
2009-02-27,-0.00348468
2009-03-31,-0.04477284
2009-04-30,-0.04653182
2009-05-29,0.01953465
2009-06-30,-0.01328322
2009-07-31,-0.01619019
2009-08-31,-0.0545384
2009-09-30,0.06457085
2009-10-30,0.07770456
2009-11-30,-0.00284503
2009-12-31,0.02283539
2010-01-29,-0.01105698
2010-02-26,-0.00755895
2010-03-31,-0.06257515
2010-04-30,0.01020014
2010-05-28,-0.02806075
2010-06-30,0.00383754
2010-07-30,0.02483923
2010-08-31,0.02131701
2010-09-30,0.03255056
2010-10-29,0.02321111
2010-11-30,0.02746053
2010-12-31,0.03149786
2011-01-31,0.00967912
2011-02-28,-0.01051377
2011-03-31,0.00236662
2011-04-29,-0.05769035
2011-05-31,-0.02694952
2011-06-30,-0.02095266
2011-07-29,0.00057567
2011-08-31,-0.03747095
2011-09-30,-0.06508016
2011-10-31,0.07673227
2011-11-30,0.02782179
2011-12-30,-0.009506
2012-01-31,-0.0254359
2012-02-29,0.02425059
2012-03-30,-0.05777225
2012-04-30,0.00221584
2012-05-31,-0.00232404
2012-06-29,0.01371449
2012-07-31,-0.00440002
2012-08-31,-0.00433787
2012-09-28,-0.02465423
2012-10-31,0.00247432
2012-11-30,-0.01732947
