Date,MktRf,SMB,HML,RMW,CMA,RF,UMD,LTR,STR,LIQ_PS,HXZ_IA,HXZ_ROE,Intermediary,BAB,QMJ,HML_Devil
2013-10-31,0.0417,-0.015,0.0121999999999999,0.0275,0.0089,0.0,0.0002,0.0021,-0.0013,-0.02071411,0.011612,0.01337,0.0170374095996996,0.0288263410179067,0.0155556299795175,0.0072444105281305
2013-11-29,0.0312,0.0144,0.0019,0.0026,0.0006,0.0,0.0039,0.0034,0.0063,-0.02687523,0.000148,0.0154729999999999,0.0372562940330789,0.0194990663589591,0.0151744236143877,-0.0051847032427056
2013-12-31,0.0279999999999999,-0.0044,0.0,-0.0058,0.0008,0.0,0.0002,-0.009,0.0128,-0.00299505,0.0073919999999999,-0.001739,0.0314352579902664,0.0028581566117244,-0.0143648315594055,-0.0050927533000836
2014-01-31,-0.033,0.006,-0.0199,-0.0391,-0.0154,0.0,0.0161,0.0127,0.003,0.03016848,-0.002918,-0.023112,-0.0339641886007371,0.0205756670807714,-0.0301604380857886,-0.0090142700543411
2014-02-28,0.0467999999999999,0.0013,-0.0034999999999999,-0.0025,-0.0054,0.0,0.0213,-0.0105,-0.0015,-0.00845716,-0.006297,-0.0147619999999999,0.0218818861148854,-0.0019070359636984,-0.0092645725081784,-0.0094965381557209
2014-03-31,0.0040999999999999,-0.0113,0.049,0.0202,0.0192,0.0,-0.0327,0.0292,0.0256999999999999,0.03065791,0.027038,0.017701,-0.0166081519930674,0.0157934314715012,0.0142248287133367,0.0344158162896668
2014-04-30,-0.0019,-0.0407,0.0121999999999999,0.034,0.0093,0.0,-0.0382,0.0016,-0.021,-0.05041689,0.008015,0.0107559999999999,-0.0205702165847638,0.0020421685251775,0.0022090781686959,0.0243346493559764
2014-05-30,0.0204,-0.0186,-0.001,-0.0009,-0.0096,0.0,0.0089,-0.0063,0.0054,0.00294652,-0.009378,-0.006562,0.0037710776894512,0.0106694245355375,0.0006275714625429,-0.0043872889196122
2014-06-30,0.0260999999999999,0.0306,-0.0070999999999999,-0.0183,-0.0191,0.0,0.0065,0.0045,-0.0055,0.01516767,-0.026584,-0.025842,-0.0039095181019218,-0.0038714126240353,-0.0170886762895937,-0.0026204856303189
2014-07-31,-0.0203,-0.042,-0.0008,0.0093,0.0051,0.0,-0.0017,0.0034999999999999,0.0265,-0.00384578,0.007158,0.011954,0.0063711767835233,0.0100851519122341,0.0100080578099394,0.0020155739677823
2014-08-29,0.0424,0.0029,-0.0056999999999999,-0.0064,-0.0069,0.0,0.0083,-0.0121,0.0162,0.00352413,-0.009247,0.001376,0.0187255728798644,0.0170298763152436,-0.0022024957516581,-0.0099063309875692
2014-09-30,-0.0196,-0.0366,-0.0147,0.012,-0.0059,0.0,0.006,-0.0093,-0.003,0.0211618,-0.003101,0.030633,0.0085191916828632,0.0246699173260724,0.0363110579817032,-0.0250287611172027
2014-10-31,0.0250999999999999,0.0366,-0.0163,-0.0039,0.0021,0.0,-0.0021,-0.0329,-0.0271,0.04238834,0.0052829999999999,0.016899,0.0018816497776721,0.0209276036258012,0.041804103057312,-0.0242389645975599
2014-11-28,0.0256,-0.023,-0.0313,0.0157,0.0014,0.0,0.0069,-0.0155,-0.0331,0.00220695,0.003424,0.025253,0.0017159750893331,0.0236375023376121,0.0283824902791679,-0.0302989547745727
2014-12-31,-0.0005,0.0283,0.0212,-0.0121,0.009,0.0,0.0103,0.0040999999999999,-0.01,0.02564281,0.004723,-0.0065559999999999,0.0147668430831101,0.0029664287119475,0.0044476208437938,-0.0002639574365269
2015-01-30,-0.0308999999999999,-0.0093,-0.0345,0.0158,-0.0163999999999999,0.0,0.0374,-0.0338,-0.0048,-0.01822077,-0.0107289999999999,-0.003707,-0.1094170178083916,0.0260887606960164,-0.0111418398414417,-0.0391186049743818
2015-02-27,0.0613999999999999,0.0036,-0.0179,-0.011,-0.0175,0.0,-0.031,-0.0195,0.0373,0.00068547,-0.0139379999999999,0.000837,0.0781561851302965,-0.0207538184509268,0.0049857625547816,-0.0020223444886836
2015-03-31,-0.0109,0.0308,-0.0038,0.0007,-0.0062,0.0,0.027,-0.0254,-0.0015,0.01244365,-0.002615,0.008338,-0.0178844311288351,0.0141843123188146,0.0015309796608778,-0.0226235130847404
